filename,score_Low,score_Medium,score_VeryLow,prob_Low,prob_Medium,prob_VeryLow,predict class,actual class
M05-S1-L-0025.npy,29.847195,-5.059261,-22.559,1.0,6.92339e-16,1.7389135e-23,Low,Low
F01-S1-L-0012.npy,2.004627,-2.5750484,0.53196144,0.80673033,0.00827562,0.1849941,Low,Low
F01-S1-L-0022.npy,4.8194695,-4.597988,-1.9836811,0.9988098,8.1195685e-05,0.0011089501,Low,Low
F01-S1-L-0002.npy,0.42505276,-0.06512979,0.21971644,0.41205034,0.25238684,0.33556283,Low,Low
M05-S1-L-0013.npy,24.913498,-3.5133324,-19.323515,1.0,4.5121597e-13,6.139155e-20,Low,Low
F01-S1-L-0003.npy,3.784386,0.39328238,-4.6412735,0.9672202,0.032567754,0.00021198644,Low,Low
F01-S1-L-0024.npy,5.7768393,-3.0987055,-4.1457725,0.99981135,0.00013973913,4.9043647e-05,Low,Low
M05-S1-L-0022.npy,27.1529,-6.2615647,-18.674318,1.0,3.0780908e-15,1.2516777e-20,Low,Low
F01-S1-L-0018.npy,2.8759758,-3.925342,0.23557201,0.9324489,0.0010371704,0.06651388,Low,Low
F01-S1-L-0016.npy,2.6971326,-4.80196,0.59910464,0.8902723,0.0004928427,0.10923477,Low,Low
F01-S1-L-0017.npy,3.2041578,-4.9541636,0.45063952,0.9398588,0.00026912167,0.05987214,Low,Low
F01-S1-L-0025.npy,5.6561193,-4.5384293,-2.9296827,0.99977595,3.7365127e-05,0.00018669653,Low,Low
M05-S1-L-0007.npy,27.257862,-4.318801,-20.793955,1.0,1.933878e-14,1.3531946e-21,Low,Low
F01-S1-L-0005.npy,6.7864423,-4.6942577,-4.2077813,0.9999728,1.0327227e-05,1.6798e-05,Low,Low
M05-S1-L-0023.npy,26.749302,-5.7509894,-18.872145,1.0,7.678978e-15,1.5376528e-20,Low,Low
M05-S1-L-0002.npy,25.517633,-4.868015,-18.470423,1.0,6.363271e-14,7.8746257e-20,Low,Low
M05-S1-L-0005.npy,27.151567,-4.9927464,-20.202898,1.0,1.09623055e-14,2.7177966e-21,Low,Low
M05-S1-L-0021.npy,27.44115,-4.8837395,-20.34062,1.0,9.151212e-15,1.7727254e-21,Low,Low
M05-S1-L-0017.npy,27.168198,-4.2344017,-20.504004,1.0,2.3015711e-14,1.9779954e-21,Low,Low
M05-S1-L-0016.npy,27.751839,-4.8819046,-21.017263,1.0,6.7196297e-15,6.604611e-22,Low,Low
M05-S1-L-0004.npy,23.727898,-1.8149636,-19.14072,1.0,8.0700455e-12,2.4121024e-19,Low,Low
F01-S1-L-0004.npy,5.215638,-4.016205,-2.8399148,0.999585,9.783207e-05,0.00031720303,Low,Low
F01-S1-L-0008.npy,4.772082,-4.567747,-1.9578255,0.9987192,8.774199e-05,0.0011931134,Low,Low
M05-S1-L-0011.npy,23.8043,-4.3224125,-17.32594,1.0,6.091494e-13,1.3720285e-18,Low,Low
F01-S1-L-0011.npy,3.5963352,-1.2495198,-4.3146677,0.9918395,0.0077967476,0.00036369424,Low,Low
F01-S1-L-0027.npy,5.4697523,-3.0550385,-3.7057796,0.99969804,0.0001984263,0.00010351093,Low,Low
F01-S1-L-0023.npy,2.4412515,0.40589306,-3.74548,0.8828539,0.115330435,0.0018156226,Low,Low
F01-S1-L-0014.npy,3.5526927,-5.961942,0.591871,0.9507057,7.012818e-05,0.049224082,Low,Low
M05-S1-L-0012.npy,30.866749,-2.3843305,-25.925306,1.0,3.6244294e-15,2.1653327e-25,Low,Low
M05-S1-L-0003.npy,24.114298,-4.2007303,-17.979599,1.0,5.045905e-13,5.2342407e-19,Low,Low
M05-S1-L-0009.npy,27.36874,-5.719948,-19.407366,1.0,4.2634916e-15,4.8461236e-21,Low,Low
M05-S1-L-0015.npy,29.180378,-3.9574971,-22.434856,1.0,4.0588586e-15,3.8352044e-23,Low,Low
F01-S1-L-0001.npy,5.6631246,-5.003665,-3.1344278,0.99982554,2.3302158e-05,0.00015107615,Low,Low
F01-S1-L-0020.npy,5.220948,-3.7613287,-3.0490074,0.9996184,0.00012556856,0.00025599892,Low,Low
M05-S1-L-0019.npy,23.553375,-3.9320712,-17.660315,1.0,1.1567035e-12,1.2621795e-18,Low,Low
F01-S1-L-0021.npy,4.3148937,-3.4964266,-2.379486,0.99835974,0.0004044583,0.001235819,Low,Low
F01-S1-L-0007.npy,2.570202,1.829605,-5.4476542,0.6769754,0.3228016,0.00022308071,Low,Low
M05-S1-L-0006.npy,24.504765,-3.0807662,-19.224813,1.0,1.0465405e-12,1.0197329e-19,Low,Low
F01-S1-L-0019.npy,2.995536,-5.2860746,1.0540532,0.87432146,0.00022131628,0.12545727,Low,Low
M05-S1-L-0024.npy,26.940783,-5.640311,-19.18522,1.0,7.082901e-15,9.283918e-21,Low,Low
F01-S1-L-0010.npy,4.7798815,-1.7642792,-4.758762,0.99849176,0.0014363213,7.19059e-05,Low,Low
M05-S1-L-0001.npy,26.988754,-2.8515534,-21.767477,1.0,1.0977899e-13,6.690167e-22,Low,Low
M05-S1-L-0020.npy,26.284721,-4.6601396,-19.414675,1.0,3.6376247e-14,1.422346e-20,Low,Low
M05-S1-L-0010.npy,26.65879,-4.7501345,-19.895735,1.0,2.2870601e-14,6.048194e-21,Low,Low
F01-S1-L-0006.npy,6.1963005,-1.2460504,-5.761109,0.999408,0.0005855593,6.407758e-06,Low,Low
M05-S1-L-0014.npy,29.47054,-5.2515407,-21.927298,1.0,8.325152e-16,4.7665478e-23,Low,Low
