filename,score_Low,score_Medium,score_VeryLow,prob_Low,prob_Medium,prob_VeryLow,predict class,actual class
M05-S1-L-0010.npy,9.895537,-4.4078717,-12.578373,0.9999994,6.1391455e-07,1.7366172e-10,Low,Low
F01-S1-L-0013.npy,9.43892,-7.8116136,-2.0280516,0.9999895,3.2224317e-08,1.0470153e-05,Low,Low
M05-S1-L-0015.npy,6.4215527,0.38466442,-20.01341,0.99761677,0.002383288,3.299173e-12,Low,Low
M05-S1-L-0025.npy,10.121942,-4.992865,-12.812033,0.99999976,2.727235e-07,1.0962284e-10,Low,Low
F01-S1-L-0016.npy,7.0040936,-5.3771625,-1.4855419,0.99979025,4.1956346e-06,0.00020554505,Low,Low
M05-S1-L-0014.npy,10.938076,-4.0020924,-14.497211,0.99999964,3.2476348e-07,8.986588e-12,Low,Low
M05-S1-L-0004.npy,3.286758,1.5586826,-17.14233,0.8491661,0.15083393,1.1395994e-09,Low,Low
M05-S1-L-0002.npy,8.276208,-3.077685,-11.268508,0.9999883,1.17236195e-05,3.249621e-09,Low,Low
M05-S1-L-0022.npy,9.792812,-4.205801,-11.560858,0.99999917,8.326819e-07,5.3237603e-10,Low,Low
F01-S1-L-0017.npy,4.581723,-3.361035,-1.1220876,0.9963251,0.0003539198,0.0033209901,Low,Low
F01-S1-L-0009.npy,5.167955,-4.188214,-3.9244657,0.9998011,8.641341e-05,0.000112493006,Low,Low
F01-S1-L-0026.npy,6.051654,-6.0619655,-3.5283809,0.9999254,5.483903e-06,6.908942e-05,Low,Low
M05-S1-L-0011.npy,7.6137466,-2.939445,-12.290541,0.9999739,2.610932e-05,2.2681224e-09,Low,Low
M05-S1-L-0013.npy,9.840855,-4.1757836,-12.010402,0.99999917,8.178077e-07,3.2368244e-10,Low,Low
F01-S1-L-0025.npy,8.656361,-6.9861465,-3.5234838,0.99999475,1.6089518e-07,5.132852e-06,Low,Low
F01-S1-L-0022.npy,8.789078,-5.92338,-3.6232367,0.9999956,4.0781097e-07,4.0681643e-06,Low,Low
F01-S1-L-0020.npy,3.5766616,-2.0093822,-2.2100875,0.9932284,0.003724441,0.0030471652,Low,Low
M05-S1-L-0017.npy,12.16822,-5.628382,-16.20111,1.0,1.866525e-08,4.779208e-13,Low,Low
M05-S1-L-0005.npy,10.675633,-4.796812,-13.694306,0.99999976,1.9072263e-07,2.6077713e-11,Low,Low
M05-S1-L-0012.npy,10.1522045,-2.6604116,-13.495059,0.99999726,2.726153e-06,5.371841e-11,Low,Low
M05-S1-L-0016.npy,10.685813,-4.6055675,-13.460924,0.99999976,2.2857986e-07,3.25991e-11,Low,Low
F01-S1-L-0003.npy,8.633753,-6.2134614,-4.771416,0.9999981,3.5639874e-07,1.5073305e-06,Low,Low
M05-S1-L-0018.npy,10.121147,-3.1423159,-12.397077,0.9999982,1.7368026e-06,1.6613433e-10,Low,Low
F01-S1-L-0014.npy,8.060115,-7.0052733,-1.5635724,0.9999336,2.86521e-07,6.6138855e-05,Low,Low
F01-S1-L-0023.npy,8.616534,-5.211557,-1.0112238,0.9999331,9.874326e-07,6.5870176e-05,Low,Low
M05-S1-L-0026.npy,11.335582,-4.781106,-14.221145,0.9999999,1.0014087e-07,7.9589295e-12,Low,Low
F01-S1-L-0015.npy,2.0206313,-1.5445267,-4.874376,0.971529,0.027487002,0.0009839934,Low,Low
F01-S1-L-0011.npy,6.6115055,-7.0892935,-1.7228996,0.9997589,1.1212794e-06,0.00024005414,Low,Low
